Date,Price,Open,High,Low,Vol.,Change %,Return,MA10,MA20,MA50,MA200,Volatility20,Price_lag1,Price_lag5,RSI,MACD,Signal,Year,Month,DayOfWeek
2021-09-24,142.21,140.54,142.33,140.24,22980000.0,0.0070999999999999995,0.007010338478969036,141.517,142.655,138.065,114.7096,0.010297574461372815,141.22,140.8,45.416417016177355,0.7242379444771245,1.3139312860053083,2021,9,Friday
2021-09-27,141.07,140.8,141.94,140.07,21880000.0,-0.008,-0.008016313901976102,141.39100000000002,142.5085,138.347,114.97049999999999,0.009553580072428769,142.21,138.72,40.71717755928283,0.6393038895560323,1.1790058067154532,2021,9,Monday
2021-09-28,135.83,138.65,139.1,135.36,45770000.0,-0.037200000000000004,-0.037144679946125914,140.72,142.07049999999998,138.572,115.20774999999999,0.012420056212154888,141.07,139.03,32.087511394712905,0.14746890191636908,0.9726984257556364,2021,9,Tuesday
2021-09-29,134.35,136.98,137.15,133.87,30850000.0,-0.0109,-0.010895972907310703,139.71200000000002,141.553,138.7348,115.4358,0.012505237068647165,135.83,140.28,30.253545337344264,-0.35761513571489445,0.7066357134615303,2021,9,Wednesday
2021-09-30,133.68,134.26,135.54,133.56,38030000.0,-0.005,-0.00498697432080375,138.719,140.97600000000003,138.85739999999998,115.66615,0.012391082590950826,134.35,141.22,33.08270676691734,-0.8027081551044546,0.40476693974833333,2021,9,Thursday
2021-10-01,136.54,134.45,136.91,134.07,35360000.0,0.021400000000000002,0.02139437462597238,138.293,140.6385,139.0198,115.9086,0.013415740160463296,133.68,142.21,37.241075363596245,-0.9141319377589241,0.14098716424688185,2021,10,Friday
2021-10-04,133.66,135.96,135.96,131.05,51200000.0,-0.021099999999999997,-0.021092720082027228,137.78699999999998,140.1345,139.03279999999998,116.1376,0.013978792200982712,136.54,141.07,32.492113564668784,-1.2207559049353733,-0.1313614495895692,2021,10,Monday
2021-10-05,136.02,134.04,137.22,134.04,32400000.0,0.0177,0.017656740984587804,137.48600000000002,139.7215,139.0724,116.38255000000001,0.014687964310058758,133.66,135.83,33.72048006194349,-1.2588145013849044,-0.3568520599486362,2021,10,Tuesday
2021-10-06,137.57,134.75,137.75,134.55,24360000.0,0.0113,0.011395383031906903,137.215,139.4155,139.1858,116.63885,0.015022949410684258,136.02,134.35,38.62951807228912,-1.1506403020062521,-0.5156097083601594,2021,10,Wednesday
2021-10-07,139.23,138.89,140.04,138.65,25110000.0,0.0121,0.012066584284364357,137.01600000000002,139.2,139.2486,116.90135000000001,0.015352318833330146,137.57,133.68,46.910665092483235,-0.9203540739801497,-0.5965585814841574,2021,10,Thursday
