Date,AAPL,AMZN,JNJ,JPM,META,MSFT,NVDA,TSLA,XOM
2023-02-09,148.94068908691406,98.23999786376953,149.35328674316406,132.6526336669922,177.08538818359375,258.3701477050781,22.31871223449707,207.32000732421875,105.01216125488281
2023-02-10,149.3065185546875,97.61000061035156,150.0473175048828,133.2383575439453,173.3330841064453,257.860595703125,21.247587203979492,196.88999938964844,109.43856811523438
2023-02-13,152.11448669433594,99.54000091552734,150.6025390625,134.68373107910156,178.58831787109375,265.9168701171875,21.770160675048828,194.63999938964844,109.01287078857422
2023-02-14,151.47183227539062,99.69999694824219,149.94552612304688,135.27886962890625,178.63807678222656,266.74993896484375,22.952192306518555,209.25,107.73580932617188
2023-02-15,153.57781982421875,101.16000366210938,147.4748077392578,135.84567260742188,176.32896423339844,264.6178283691406,22.745363235473633,214.24000549316406,107.41191864013672
2023-02-16,151.97605895996094,98.1500015258789,146.42916870117188,133.97520446777344,171.631103515625,257.572998046875,21.983985900878906,202.0399932861328,107.09728240966797
2023-02-17,150.8291473388672,97.19999694824219,149.4861602783203,134.3719482421875,172.0690460205078,253.5543975830078,21.3704891204834,208.30999755859375,102.9792251586914
2023-02-21,146.8050537109375,94.58000183105469,147.2586669921875,131.9063262939453,171.27281188964844,248.25852966308594,20.638090133666992,197.3699951171875,102.87742614746094
2023-02-22,147.23019409179688,95.79000091552734,147.05360412597656,130.89552307128906,170.31729125976562,247.1187744140625,20.73700523376465,200.86000061035156,101.54485321044922
2023-02-23,147.7146759033203,95.81999969482422,147.00701904296875,131.94415283203125,171.2329559326172,250.32188415527344,23.644624710083008,202.07000732421875,102.4794921875
2023-02-24,145.05502319335938,93.5,145.3666534423828,133.1343994140625,169.59071350097656,244.8687744140625,23.26693344116211,196.8800048828125,102.48876190185547
2023-02-27,146.25135803222656,93.76000213623047,145.0497589111328,134.29638671875,168.74468994140625,245.7923583984375,23.48175811767578,207.6300048828125,102.30368041992188
2023-02-28,145.7471160888672,94.2300033569336,142.8408966064453,135.42054748535156,174.119384765625,245.0652618408203,23.196990966796875,205.7100067138672,101.71141815185547
2023-03-01,143.67080688476562,92.16999816894531,142.19778442382812,134.66482543945312,172.60650634765625,241.97030639648438,22.679414749145508,202.77000427246094,102.61832427978516
2023-03-02,144.26405334472656,92.12999725341797,142.08595275878906,133.2666778564453,173.71128845214844,246.7257843017578,23.29491424560547,190.89999389648438,103.09027862548828
2023-03-03,149.32627868652344,94.9000015258789,143.54920959472656,135.7134246826172,184.38101196289062,250.83277893066406,23.870439529418945,197.7899932861328,104.39510345458984
2023-03-06,152.09471130371094,93.75,144.98452758789062,134.9198760986328,184.03265380859375,252.38519287109375,23.53471565246582,193.80999755859375,105.32051086425781
2023-03-07,149.88987731933594,93.55000305175781,143.6144561767578,130.95220947265625,183.6444854736328,249.71270751953125,23.272886276245117,187.7100067138672,103.28462219238281
2023-03-08,151.14552307128906,93.91999816894531,142.561279296875,130.1775665283203,184.1023406982422,249.27053833007812,24.165307998657227,182.0,101.77619934082031
2023-03-09,148.8912353515625,92.25,140.95822143554688,123.1302261352539,180.83773803710938,247.91465759277344,23.42078971862793,172.9199981689453,100.9896011352539
2023-03-10,146.82481384277344,90.7300033569336,141.30308532714844,126.25711822509766,178.66793823242188,244.24977111816406,22.950096130371094,173.44000244140625,99.74031066894531
2023-03-13,148.77259826660156,92.43000030517578,142.6544952392578,123.98986053466797,180.05140686035156,249.48670959472656,22.951095581054688,174.47999572753906,98.59280395507812
2023-03-14,150.86868286132812,94.87999725341797,143.4560089111328,127.1734619140625,193.10987854003906,256.2367858886719,24.047380447387695,183.25999450683594,98.96296691894531
2023-03-15,151.26417541503906,96.19999694824219,143.85679626464844,121.16526794433594,196.82235717773438,260.8055725097656,24.2122745513916,180.4499969482422,94.0398178100586
2023-03-16,154.0919189453125,100.04000091552734,143.55853271484375,123.51753234863281,203.96868896484375,271.3777770996094,25.524425506591797,184.1300048828125,93.49381256103516
2023-03-17,153.25152587890625,98.94999694824219,142.02072143554688,118.85079193115234,194.69241333007812,274.55126953125,25.708301544189453,180.1300048828125,92.392578125
2023-03-20,155.62440490722656,97.70999908447266,143.4280548095703,120.10722351074219,196.88211059570312,267.47705078125,25.883190155029297,183.25,94.80789184570312
2023-03-21,157.48324584960938,100.61000061035156,143.4280548095703,123.32859802246094,201.21168518066406,268.9999694824219,26.181995391845703,197.5800018310547,99.0555191040039
2023-03-22,156.0496063232422,98.69999694824219,140.78114318847656,120.14501953125,198.87269592285156,267.5359802246094,26.450820922851562,191.14999389648438,96.78826141357422
2023-03-23,157.13717651367188,98.70999908447266,140.855712890625,119.82380676269531,203.3217315673828,272.8122253417969,27.173351287841797,192.22000122070312,95.69628143310547
2023-03-24,158.44229125976562,98.12999725341797,142.27236938476562,118.0005874633789,205.04360961914062,275.67144775390625,26.76161766052246,190.41000366210938,95.80731964111328
2023-03-27,156.4945068359375,98.04000091552734,142.878173828125,121.38255310058594,201.88848876953125,271.5545654296875,26.51378059387207,191.80999755859375,97.90799713134766
2023-03-28,155.87161254882812,97.23999786376953,141.49876403808594,121.7509765625,199.73863220214844,270.4246826171875,26.392860412597656,189.19000244140625,99.12955474853516
2023-03-29,158.9564208984375,100.25,142.88748168945312,121.9966049194336,204.38673400878906,275.612548828125,26.966482162475586,193.8800048828125,100.83228302001953
2023-03-30,160.5284881591797,102.0,142.9993438720703,121.62816619873047,206.86505126953125,279.0906066894531,27.36522674560547,195.27999877929688,101.32274627685547
2023-03-31,163.03982543945312,103.29000091552734,144.46258544921875,123.10187530517578,210.94581604003906,283.2664489746094,27.75897216796875,207.4600067138672,101.48007202148438
2023-04-03,164.29550170898438,102.41000366210938,146.18685913085938,122.96016693115234,212.07052612304688,282.21514892578125,27.946847915649414,194.77000427246094,107.46744537353516
2023-04-04,163.7615966796875,103.94999694824219,147.71533203125,121.31642150878906,213.71278381347656,282.1659851074219,27.435182571411133,192.5800018310547,106.44024658203125
2023-04-05,161.9126739501953,101.0999984741211,154.35130310058594,121.49732208251953,210.48794555664062,279.3755798339844,26.863554000854492,185.52000427246094,108.2633056640625
2023-04-06,162.80252075195312,102.05999755859375,153.92254638671875,121.36402130126953,215.0863037109375,286.5089111328125,27.019454956054688,185.05999755859375,106.46800994873047
2023-04-10,160.2021942138672,102.16999816894531,153.14903259277344,121.76390075683594,213.74261474609375,284.3374938964844,27.56110191345215,184.50999450683594,105.99605560302734
2023-04-11,158.986083984375,99.91999816894531,153.10240173339844,122.36371612548828,212.8468475341797,277.8919677734375,27.151369094848633,186.7899932861328,106.7456283569336
2023-04-12,158.29397583007812,97.83000183105469,152.7761993408203,122.34468078613281,212.99615478515625,278.5404357910156,26.477802276611328,180.5399932861328,106.63458251953125
2023-04-13,163.6923828125,102.4000015258789,154.8173065185547,122.81121063232422,219.3163604736328,284.779541015625,26.445823669433594,185.89999389648438,107.13430786132812
2023-04-14,163.34632873535156,102.51000213623047,154.565673828125,132.08465576171875,220.4510040283203,281.1441955566406,26.740633010864258,185.0,107.39341735839844
2023-04-17,163.36610412597656,102.73999786376953,154.40724182128906,133.13194274902344,217.83335876464844,283.7577209472656,26.984477996826172,187.0399932861328,106.14411163330078
2023-04-18,164.59213256835938,102.30000305175781,150.06399536132812,134.6267547607422,216.86788940429688,283.335205078125,27.649045944213867,184.30999755859375,108.21703338623047
